time,NODF
1_100,0.0
101_200,0.0
201_300,0.18519523591875023
301_400,0.15750412634779237
401_500,0.1894377395827595
501_600,0.18984035231708282
601_700,0.31452798018314154
701_800,0.3126289526674266
801_900,0.309320031357944
901_1000,0.32446275241724026
1001_1100,0.32043591184402387
1101_1200,0.32527755076112824
1201_1300,0.32816802541362733
1301_1400,0.3310838862886976
1401_1500,0.3322337252570887
1501_1600,0.33450223306163923
1601_1700,0.3344145851034773
1701_1800,0.33190941540250474
1801_1900,0.339851680373165
1901_2016,0.33958586227061976
