degree,attractive,attractive_existing,attractive_new
1.0,0.08888888888888889,0.16666666666666666,0.05555555555555555
0.9711538461538461,0.08888888888888889,0.16666666666666666,0.05555555555555555
0.8557692307692307,0.4444444444444444,0.5,0.6111111111111112
0.8557692307692307,0.4222222222222222,0.7777777777777778,0.2777777777777778
0.8461538461538461,0.6,0.8333333333333334,0.6666666666666666
0.7980769230769231,0.24444444444444444,0.4444444444444444,0.16666666666666666
0.7692307692307693,0.17777777777777778,0.16666666666666666,0.2777777777777778
0.7692307692307693,0.5777777777777777,0.8888888888888888,0.5555555555555556
0.7019230769230769,0.4,0.7777777777777778,0.2222222222222222
0.6730769230769231,0.4,0.5555555555555556,0.4444444444444444
0.6730769230769231,0.044444444444444446,0.1111111111111111,0.0
0.6442307692307693,0.4,0.5555555555555556,0.4444444444444444
0.6346153846153846,0.28888888888888886,0.5,0.2222222222222222
0.6346153846153846,0.24444444444444444,0.2222222222222222,0.2777777777777778
0.6153846153846154,0.4888888888888889,0.8888888888888888,0.3333333333333333
0.5961538461538461,0.0,0.0,0.0
0.5865384615384616,0.4222222222222222,0.5555555555555556,0.5
0.5769230769230769,0.13333333333333333,0.16666666666666666,0.16666666666666666
0.5192307692307693,0.3111111111111111,0.2777777777777778,0.5
0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,0.06666666666666667,0.1111111111111111,0.0
0.49038461538461536,0.3333333333333333,0.3333333333333333,0.3888888888888889
0.49038461538461536,0.022222222222222223,0.0,0.05555555555555555
0.49038461538461536,0.08888888888888889,0.1111111111111111,0.1111111111111111
0.49038461538461536,0.6888888888888889,1.0,0.6111111111111112
0.4807692307692308,0.3333333333333333,0.2777777777777778,0.3333333333333333
0.4807692307692308,0.0,0.0,0.0
0.4807692307692308,0.0,0.0,0.0
0.46153846153846156,0.0,0.0,0.0
0.46153846153846156,0.0,0.0,0.0
0.46153846153846156,0.0,0.0,0.0
0.4519230769230769,0.06666666666666667,0.0,0.16666666666666666
0.4423076923076923,0.044444444444444446,0.05555555555555555,0.05555555555555555
0.4423076923076923,0.0,0.0,0.0
0.4423076923076923,0.17777777777777778,0.16666666666666666,0.0
0.4230769230769231,0.26666666666666666,0.2222222222222222,0.2777777777777778
0.4230769230769231,0.0,0.0,0.0
0.4230769230769231,0.0,0.0,0.0
0.41346153846153844,0.0,0.0,0.0
0.41346153846153844,0.0,0.0,0.0
0.40384615384615385,0.0,0.0,0.0
0.40384615384615385,0.08888888888888889,0.05555555555555555,0.1111111111111111
0.40384615384615385,0.0,0.0,0.0
0.3942307692307692,0.06666666666666667,0.05555555555555555,0.1111111111111111
0.38461538461538464,0.26666666666666666,0.5,0.1111111111111111
